S.No,State,District,Sector/Industry,Company Name,Internship Mode,Address,Opportunities Count,Duration of Internship,Required Skills,Application Link
12,Karnataka,Bengaluru,IT/Software,Tech Mahindra Ltd,Online,,6,3 Months,"Python, Networking, Cloud Computing, DevOps",https://example.com/apply/12
13,Telangana,Hyderabad,Finance/Banking,Axis Bank Ltd,Offline,"6th Floor, Galaxy Building, Banjara Hills, Hyderabad, Telangana",5,2 Months,"Excel, Financial Analysis, Risk Management",https://example.com/apply/13
14,Maharashtra,Nagpur,Mining,Hindustan Zinc Ltd,Offline,"Floor 3, Emerald Tower, Central Avenue, Nagpur, Maharashtra",4,4 Months,"Mining Operations, Safety Protocols, Process Management",https://example.com/apply/14
15,Karnataka,Bengaluru,IT/Software,Zoho Corporation Pvt Ltd,Online,,6,3 Months,"Python, Web Development, Database Management",https://example.com/apply/15
16,Maharashtra,Pune,Automobile,Maruti Suzuki India Ltd,Offline,"1st Floor, Ruby Tower, Hinjewadi, Pune, Maharashtra",5,6 Months,"Mechanical Engineering, CAD, MATLAB",https://example.com/apply/16
17,Telangana,Hyderabad,Energy,NTPC Ltd,Online,,4,3 Months,"Electrical Engineering, Renewable Energy, Power Systems",https://example.com/apply/17
18,Gujarat,Surat,Manufacturing,Adani Enterprises Ltd,Offline,"5th Floor, Crystal Building, Surat, Gujarat",6,2 Months,"Supply Chain Management, Production Planning",https://example.com/apply/18
19,Maharashtra,Mumbai,Telecom,Bharti Airtel Ltd,Online,,5,1 Month,"Networking, Python, Telecommunications, Cloud Networking",https://example.com/apply/19
20,Karnataka,Bengaluru,IT/Software,IBM India Pvt Ltd,Offline,"Floor 7, Horizon Tower, Whitefield, Bengaluru, Karnataka",7,6 Months,"Java, Cloud Computing, AI/ML, Software Development",https://example.com/apply/20
21,Delhi,New Delhi,Banking/Finance,HDFC Life Insurance Ltd,Online,,5,2 Months,"Excel, Data Analysis, Financial Planning, Risk Analysis",https://example.com/apply/21
22,Tamil Nadu,Chennai,IT/Software,Capgemini Technology Services India Ltd,Offline,"2nd Floor, Sapphire Building, OMR Road, Chennai, Tamil Nadu",6,3 Months,"Java, SQL, Web Development, Software Testing",https://example.com/apply/22
23,Maharashtra,Pune,Automobile,Hero MotoCorp Ltd,Online,,4,4 Months,"Mechanical Engineering, CAD, Manufacturing",https://example.com/apply/23
24,Karnataka,Bengaluru,IT/Software,Infosys BPM Ltd,Offline,"3rd Floor, Delta Building, Electronic City, Bengaluru, Karnataka",5,2 Months,"Data Analytics, Python, SQL, Database Management",https://example.com/apply/24
25,Telangana,Hyderabad,Finance/Banking,ICICI Prudential Asset Management Co Ltd,Online,,6,3 Months,"Financial Modelling, Excel, Risk Analysis, Banking Knowledge",https://example.com/apply/25
26,Maharashtra,Mumbai,IT/Software,Accenture Solutions Pvt Ltd,Offline,"5th Floor, Zenith Tower, Bandra Kurla Complex, Mumbai, Maharashtra",6,3 Months,"Java, SQL, Cloud Computing, Web Development",https://example.com/apply/26
27,Karnataka,Bengaluru,IT/Software,LTI Mindtree,Online,,5,2 Months,"Python, Web Development, Data Analysis",https://example.com/apply/27
28,Tamil Nadu,Chennai,Finance/Banking,Shriram Finance Ltd,Offline,"3rd Floor, Pinnacle Building, Anna Nagar, Chennai, Tamil Nadu",4,4 Months,"Financial Analysis, Excel, Accounting",https://example.com/apply/28
29,Telangana,Hyderabad,Energy,Power Grid Corporation of India Ltd,Online,,5,6 Months,"Electrical Engineering, Power Systems",https://example.com/apply/29
30,Maharashtra,Pune,Automobile,Bajaj Auto Ltd,Offline,"2nd Floor, Emerald Tower, Pimpri-Chinchwad, Pune, Maharashtra",6,3 Months,"Mechanical Engineering, CAD, Automotive Design",https://example.com/apply/30
31,Gujarat,Ahmedabad,Chemicals,Grasim Industries Ltd,Online,,5,2 Months,"Chemistry Knowledge, Lab Techniques",https://example.com/apply/31
32,Karnataka,Bengaluru,IT/Software,Oracle Financial Services Software Ltd,Offline,"4th Floor, Alpha Building, Whitefield, Bengaluru, Karnataka",7,6 Months,"Java, SQL, Database Management",https://example.com/apply/32
33,Telangana,Hyderabad,Telecom,Bharti Telemedia Ltd,Online,,4,1 Month,"Networking, Telecommunications, Python",https://example.com/apply/33
34,Maharashtra,Mumbai,Finance/Banking,HDFC Securities Ltd,Offline,"6th Floor, Sapphire Tower, Andheri East, Mumbai, Maharashtra",5,2 Months,"Financial Modelling, Excel, Investment Analysis",https://example.com/apply/34
35,Karnataka,Bengaluru,IT/Software,Google IT Services India Pvt Ltd,Online,,6,3 Months,"Python, Cloud Computing, Data Analysis",https://example.com/apply/35
36,Delhi,New Delhi,Banking/Finance,Yes Bank Ltd,Offline,"Floor 3, Horizon Building, Connaught Place, New Delhi, Delhi",4,4 Months,"Financial Analysis, Banking Knowledge, Excel",https://example.com/apply/36
37,Tamil Nadu,Chennai,IT/Software,Adobe Systems India Pvt Ltd,Online,,5,6 Months,"Java, Web Development, Frontend/Backend Skills",https://example.com/apply/37
38,Maharashtra,Pune,Manufacturing,Godrej Consumer Products Ltd,Offline,"5th Floor, Ruby Tower, Kothrud, Pune, Maharashtra",6,2 Months,"Manufacturing Processes, Supply Chain Management",https://example.com/apply/38
39,Karnataka,Bengaluru,IT/Software,Cognizant Technology Solutions,Online,,5,3 Months,"Python, Cloud Computing, Web Development",https://example.com/apply/39
40,Telangana,Hyderabad,Energy,NTPC Limited,Offline,"2nd Floor, Galaxy Tower, Gachibowli, Hyderabad, Telangana",7,6 Months,"Electrical Engineering, Renewable Energy",https://example.com/apply/40
41,Gujarat,Surat,Manufacturing,Adani Ports and SEZ Ltd,Online,,4,2 Months,"Logistics, Production Planning, Supply Chain",https://example.com/apply/41
42,Maharashtra,Mumbai,IT/Software,Wipro Ltd,Offline,"7th Floor, Crescent Tower, Lower Parel, Mumbai, Maharashtra",5,4 Months,"Java, SQL, Problem Solving, Software Development",https://example.com/apply/42
43,Karnataka,Bengaluru,IT/Software,Infosys Ltd,Online,,6,3 Months,"Java, Python, Software Development, SQL",https://example.com/apply/43
44,Delhi,New Delhi,Banking/Finance,ICICI Bank Ltd,Offline,"4th Floor, Zenith Building, Nehru Place, New Delhi, Delhi",5,2 Months,"Banking Operations, Financial Analysis, Excel",https://example.com/apply/44
45,Tamil Nadu,Chennai,IT/Software,Tech Mahindra Ltd,Online,,4,3 Months,"Java, Cloud Computing, AI/ML Basics",https://example.com/apply/45
46,Maharashtra,Pune,Automobile,Tata Motors Ltd,Offline,"3rd Floor, Diamond Building, Hinjewadi, Pune, Maharashtra",6,6 Months,"Mechanical Engineering, CAD, Automotive Design",https://example.com/apply/46
47,Karnataka,Bengaluru,IT/Software,IBM India Pvt Ltd,Online,,5,4 Months,"Python, Cloud Computing, AI/ML, Data Analytics",https://example.com/apply/47
48,Telangana,Hyderabad,Finance/Banking,Axis Bank Ltd,Offline,"5th Floor, Sapphire Tower, Banjara Hills, Hyderabad, Telangana",4,2 Months,"Banking Operations, Excel, Financial Analysis",https://example.com/apply/48
49,Maharashtra,Mumbai,IT/Software,HCL Technologies Ltd,Online,,6,3 Months,"Python, Cloud Computing, Software Development",https://example.com/apply/49
50,Karnataka,Bengaluru,IT/Software,Zoho Corporation Pvt Ltd,Offline,"2nd Floor, Emerald Building, Whitefield, Bengaluru, Karnataka",5,6 Months,"Data Analytics, Python, SQL, Database Management",https://example.com/apply/50
51,Maharashtra,Pune,Manufacturing,Hero MotoCorp Ltd,Offline,"3rd Floor, Platinum Tower, Pimpri-Chinchwad, Pune, Maharashtra",5,3 Months,"Mechanical Engineering, Automotive Design, CAD",https://example.com/apply/51
52,Karnataka,Bengaluru,IT/Software,Capgemini Technology Services India Ltd,Online,,6,2 Months,"Java, Python, Web Development, SQL",https://example.com/apply/52
53,Telangana,Hyderabad,Energy,Power Finance Corporation Ltd,Offline,"4th Floor, Horizon Tower, Gachibowli, Hyderabad, Telangana",4,6 Months,"Financial Analysis, Excel, Energy Sector Knowledge",https://example.com/apply/53
54,Maharashtra,Mumbai,IT/Software,Accenture Solutions Pvt Ltd,Online,,5,3 Months,"Java, Cloud Computing, Data Analysis, SQL",https://example.com/apply/54
55,Karnataka,Bengaluru,IT/Software,LTI Mindtree,Offline,"5th Floor, Sapphire Tower, Whitefield, Bengaluru, Karnataka",6,4 Months,"Python, Web Development, Data Analytics, SQL",https://example.com/apply/55
56,Tamil Nadu,Chennai,Finance/Banking,Shriram Finance Ltd,Online,,4,2 Months,"Accounting, Excel, Financial Modelling",https://example.com/apply/56
57,Telangana,Hyderabad,Energy,NTPC Limited,Offline,"6th Floor, Galaxy Tower, Hitec City, Hyderabad, Telangana",5,6 Months,"Electrical Engineering, Power Systems, Renewable Energy",https://example.com/apply/57
58,Maharashtra,Pune,Automobile,Bajaj Auto Ltd,Online,,6,3 Months,"Mechanical Engineering, CAD, Product Design",https://example.com/apply/58
59,Gujarat,Ahmedabad,Chemicals,Grasim Industries Ltd,Offline,"3rd Floor, Crystal Building, Navrangpura, Ahmedabad, Gujarat",5,4 Months,"Chemistry, Laboratory Skills, Process Management",https://example.com/apply/59
60,Karnataka,Bengaluru,IT/Software,Oracle Financial Services Software Ltd,Online,,6,3 Months,"Java, SQL, Database Management, Cloud Computing",https://example.com/apply/60
61,Telangana,Hyderabad,Telecom,Bharti Telemedia Ltd,Offline,"2nd Floor, Zenith Building, Banjara Hills, Hyderabad, Telangana",4,1 Month,"Networking, Telecommunications, Python",https://example.com/apply/61
62,Maharashtra,Mumbai,Finance/Banking,HDFC Securities Ltd,Online,,5,2 Months,"Financial Modelling, Excel, Investment Analysis",https://example.com/apply/62
63,Karnataka,Bengaluru,IT/Software,Google IT Services India Pvt Ltd,Offline,"7th Floor, Horizon Tower, Whitefield, Bengaluru, Karnataka",6,6 Months,"Python, Cloud Computing, Data Analytics, AI/ML",https://example.com/apply/63
64,Delhi,New Delhi,Banking/Finance,Yes Bank Ltd,Online,,4,2 Months,"Banking Operations, Financial Analysis, Excel",https://example.com/apply/64
65,Tamil Nadu,Chennai,IT/Software,Adobe Systems India Pvt Ltd,Offline,"3rd Floor, Sapphire Tower, OMR Road, Chennai, Tamil Nadu",5,4 Months,"Java, Web Development, UX/UI, Frontend Skills",https://example.com/apply/65
66,Maharashtra,Pune,Manufacturing,Godrej Consumer Products Ltd,Online,,6,3 Months,"Production Planning, Supply Chain, Manufacturing",https://example.com/apply/66
67,Karnataka,Bengaluru,IT/Software,Cognizant Technology Solutions,Offline,"4th Floor, Emerald Building, Electronic City, Bengaluru, Karnataka",5,6 Months,"Python, Web Development, Cloud Computing",https://example.com/apply/67
68,Telangana,Hyderabad,Energy,NTPC Limited,Online,,6,3 Months,"Electrical Engineering, Power Systems, Project Management",https://example.com/apply/68
69,Gujarat,Surat,Manufacturing,Adani Ports and SEZ Ltd,Offline,"5th Floor, Crystal Tower, Surat, Gujarat",4,2 Months,"Logistics, Supply Chain, Production Planning",https://example.com/apply/69
70,Maharashtra,Mumbai,IT/Software,Wipro Ltd,Online,,5,4 Months,"Java, Python, Cloud Computing, AI/ML Basics",https://example.com/apply/70
71,Karnataka,Bengaluru,IT/Software,Infosys Ltd,Offline,"6th Floor, Alpha Tower, Whitefield, Bengaluru, Karnataka",7,6 Months,"Java, SQL, Problem Solving, Software Development",https://example.com/apply/71
72,Delhi,New Delhi,Banking/Finance,ICICI Bank Ltd,Online,,5,2 Months,"Financial Analysis, Banking Operations, Excel",https://example.com/apply/72
73,Tamil Nadu,Chennai,IT/Software,Tech Mahindra Ltd,Offline,"2nd Floor, Diamond Tower, Guindy, Chennai, Tamil Nadu",6,3 Months,"Java, Cloud Computing, AI/ML, Web Development",https://example.com/apply/73
74,Maharashtra,Pune,Automobile,Tata Motors Ltd,Online,,5,4 Months,"Mechanical Engineering, CAD, Automotive Design",https://example.com/apply/74
75,Karnataka,Bengaluru,IT/Software,IBM India Pvt Ltd,Offline,"3rd Floor, Horizon Tower, Electronic City, Bengaluru, Karnataka",6,6 Months,"Python, Cloud Computing, Data Analytics, AI/ML",https://example.com/apply/75
76,Telangana,Hyderabad,Finance/Banking,Axis Bank Ltd,Online,,5,2 Months,"Excel, Financial Analysis, Banking Knowledge",https://example.com/apply/76
77,Maharashtra,Mumbai,IT/Software,HCL Technologies Ltd,Offline,"4th Floor, Sapphire Tower, Bandra Kurla Complex, Mumbai, Maharashtra",6,3 Months,"Java, Python, Software Development",https://example.com/apply/77
78,Karnataka,Bengaluru,IT/Software,Zoho Corporation Pvt Ltd,Online,,5,4 Months,"Python, Web Development, Database Management",https://example.com/apply/78
79,Maharashtra,Pune,Manufacturing,Hero MotoCorp Ltd,Offline,"3rd Floor, Platinum Tower, Pimpri-Chinchwad, Pune, Maharashtra",6,3 Months,"Mechanical Engineering, CAD, Manufacturing",https://example.com/apply/79
80,Karnataka,Bengaluru,IT/Software,Capgemini Technology Services India Ltd,Online,,5,2 Months,"Java, SQL, Web Development",https://example.com/apply/80
81,Telangana,Hyderabad,Energy,Power Finance Corporation Ltd,Offline,"5th Floor, Horizon Tower, Gachibowli, Hyderabad, Telangana",4,6 Months,"Electrical Engineering, Power Systems",https://example.com/apply/81
82,Maharashtra,Mumbai,IT/Software,Accenture Solutions Pvt Ltd,Online,,5,3 Months,"Java, Cloud Computing, Data Analysis",https://example.com/apply/82
83,Karnataka,Bengaluru,IT/Software,LTI Mindtree,Offline,"6th Floor, Emerald Tower, Whitefield, Bengaluru, Karnataka",6,4 Months,"Python, Web Development, Data Analytics",https://example.com/apply/83
84,Tamil Nadu,Chennai,Finance/Banking,Shriram Finance Ltd,Online,,4,2 Months,"Excel, Financial Analysis, Accounting",https://example.com/apply/84
85,Telangana,Hyderabad,Energy,NTPC Limited,Offline,"3rd Floor, Galaxy Tower, Hitec City, Hyderabad, Telangana",5,6 Months,"Electrical Engineering, Renewable Energy",https://example.com/apply/85
86,Maharashtra,Pune,Automobile,Bajaj Auto Ltd,Online,,6,3 Months,"Mechanical Engineering, CAD, MATLAB",https://example.com/apply/86
87,Gujarat,Ahmedabad,Chemicals,Grasim Industries Ltd,Offline,"4th Floor, Crystal Building, Navrangpura, Ahmedabad, Gujarat",5,2 Months,"Chemistry Knowledge, Lab Techniques",https://example.com/apply/87
88,Karnataka,Bengaluru,IT/Software,Oracle Financial Services Software Ltd,Online,,6,3 Months,"Java, Python, Database Management",https://example.com/apply/88
89,Telangana,Hyderabad,Telecom,Bharti Telemedia Ltd,Offline,"2nd Floor, Zenith Tower, Banjara Hills, Hyderabad, Telangana",4,1 Month,"Networking, Telecommunications, Python",https://example.com/apply/89
90,Maharashtra,Mumbai,Finance/Banking,HDFC Securities Ltd,Online,,5,2 Months,"Financial Modelling, Excel, Investment Analysis",https://example.com/apply/90
91,Karnataka,Bengaluru,IT/Software,Google IT Services India Pvt Ltd,Offline,"7th Floor, Horizon Tower, Whitefield, Bengaluru, Karnataka",6,6 Months,"Python, Cloud Computing, Data Analysis",https://example.com/apply/91
92,Delhi,New Delhi,Banking/Finance,Yes Bank Ltd,Online,,4,2 Months,"Financial Analysis, Banking Knowledge, Excel",https://example.com/apply/92
93,Tamil Nadu,Chennai,IT/Software,Adobe Systems India Pvt Ltd,Offline,"3rd Floor, Sapphire Tower, OMR Road, Chennai, Tamil Nadu",5,4 Months,"Java, Web Development, SQL",https://example.com/apply/93
94,Maharashtra,Pune,Manufacturing,Godrej Consumer Products Ltd,Online,,6,3 Months,"Manufacturing Processes, Supply Chain Management",https://example.com/apply/94
95,Karnataka,Bengaluru,IT/Software,Cognizant Technology Solutions,Offline,"4th Floor, Emerald Tower, Electronic City, Bengaluru, Karnataka",5,6 Months,"Python, Cloud Computing, Web Development",https://example.com/apply/95
96,Telangana,Hyderabad,Energy,NTPC Limited,Online,,6,3 Months,"Electrical Engineering, Renewable Energy",https://example.com/apply/96
97,Gujarat,Surat,Manufacturing,Adani Ports and SEZ Ltd,Offline,"5th Floor, Crystal Tower, Surat, Gujarat",4,2 Months,"Production Planning, Supply Chain Management",https://example.com/apply/97
98,Maharashtra,Mumbai,IT/Software,Wipro Ltd,Online,,5,4 Months,"Java, SQL, Problem Solving",https://example.com/apply/98
99,Karnataka,Bengaluru,IT/Software,Infosys Ltd,Offline,"6th Floor, Alpha Tower, Whitefield, Bengaluru, Karnataka",7,6 Months,"Excel, Financial Analysis, Accounting",https://example.com/apply/99
100,Delhi,New Delhi,Banking/Finance,ICICI Bank Ltd,Online,,5,2 Months,"Python, Web Development, Data Analytics",https://example.com/apply/100
101,Andhra Pradesh,Visakhapatnam,IT/Software,Infosys Ltd,Online,"IT Park, Rushikonda",4,1 month,"Java, Python, Problem Solving",https://example.com/apply/101
102,Andhra Pradesh,Vijayawada,Finance/Banking,HDFC Bank Ltd,Offline,MG Road,3,2 weeks,"Excel, Financial Analysis, Communication",https://example.com/apply/102
103,Kerala,Kochi,IT/Software,UST Global,Online,Infopark,5,1 month,"C++, SQL, Web Development",https://example.com/apply/103
104,Kerala,Thiruvananthapuram,Research & Analytics,TCS Research,Offline,Technopark,2,3 weeks,"Data Analysis, Statistics, R/Python",https://example.com/apply/104
105,Rajasthan,Jaipur,IT/Software,Wipro Ltd,Online,Vaishali Nagar,6,1 month,"Java, Cloud Computing, SQL",https://example.com/apply/105
106,Rajasthan,Udaipur,Tourism & Hospitality,Oberoi Hotels,Offline,City Palace Road,3,2 weeks,"Customer Service, Hospitality, Communication",https://example.com/apply/106
107,Odisha,Bhubaneswar,IT/Software,Mindfire Solutions,Online,Infocity,4,1 month,"JavaScript, HTML/CSS, Problem Solving",https://example.com/apply/107
108,Odisha,Cuttack,Finance/Banking,ICICI Bank Ltd,Offline,Buxi Bazaar,2,3 weeks,"Financial Modeling, Excel, Analytical Skills",https://example.com/apply/108
109,West Bengal,Kolkata,IT/Software,Cognizant Technology Solutions,Online,Salt Lake City,5,1 month,"Java, SQL, Communication",https://example.com/apply/109
110,West Bengal,Siliguri,Healthcare,Fortis Healthcare,Offline,Hill Cart Road,2,2 weeks,"Medical Knowledge, Communication, MS Office",https://example.com/apply/110
111,Andhra Pradesh,Guntur,Education/Training,NIIT Ltd,Online,Brodipet,3,1 month,"Teaching Skills, Communication, MS Office",https://example.com/apply/111
112,Kerala,Kozhikode,IT/Software,Tech Mahindra,Online,Cyberpark,4,1 month,"Python, Java, Web Development",https://example.com/apply/112
113,Rajasthan,Jodhpur,Manufacturing,Laxmi Industries,Offline,Industrial Area,3,3 weeks,"Mechanical Knowledge, CAD, Teamwork",https://example.com/apply/113
114,Odisha,Rourkela,Engineering,SAIL Steel Plant,Offline,"Sector 1, Rourkela",4,1 month,"Mechanical/Industrial Engineering, Safety Knowledge",https://example.com/apply/114
115,West Bengal,Durgapur,Manufacturing,Durgapur Steel Plant,Offline,Industrial Estate,3,3 weeks,"Mechanical Skills, Safety Practices",https://example.com/apply/115
116,Andhra Pradesh,Tirupati,Healthcare,Apollo Hospitals,Offline,Near Railway Station,2,2 weeks,"Medical Knowledge, Patient Care, MS Office",https://example.com/apply/116
117,Kerala,Alappuzha,Tourism & Hospitality,Kerala Houseboats,Offline,Backwater Area,2,2 weeks,"Customer Service, Hospitality Skills",https://example.com/apply/117
118,Rajasthan,Ajmer,Education/Training,Maharishi Dayanand University,Online,University Campus,3,1 month,"Teaching, Research, Communication",https://example.com/apply/118
119,Odisha,Puri,Tourism & Hospitality,Jagannath Temple Trust,Offline,Puri Temple Area,2,2 weeks,"Customer Service, Cultural Knowledge",https://example.com/apply/119
120,West Bengal,Howrah,IT/Software,IBM India,Online,Electronics Complex,4,1 month,"Java, Cloud Computing, SQL",https://example.com/apply/120
121,Andhra Pradesh,Nellore,Agriculture/Research,ICAR Research,Offline,Agriculture Campus,2,3 weeks,"Research, Agriculture Knowledge, Data Analysis",https://example.com/apply/121
122,Kerala,Thrissur,Education/Training,Kerala University,Online,University Campus,3,1 month,"Research, Teaching, MS Office",https://example.com/apply/122
123,Rajasthan,Bikaner,IT/Software,Persistent Systems,Online,Bikaner Tech Park,4,1 month,"Java, Python, Problem Solving",https://example.com/apply/123
124,Odisha,Sambalpur,Engineering,NALCO,Offline,Industrial Area,3,3 weeks,Mechanical/Industrial Engineering,https://example.com/apply/124
125,West Bengal,Asansol,Mining/Industrial,Eastern Coalfields Ltd,Offline,Industrial Zone,3,2 weeks,"Mining Knowledge, Safety Practices",https://example.com/apply/125
126,Punjab,Chandigarh,IT/Software,Infosys Ltd,Online,"Industrial Area, Chandigarh",4,1 month,"Java, Python, Cloud Computing",https://example.com/apply/126
127,Punjab,Ludhiana,Manufacturing,Atlas Copco India,Offline,Industrial Estate,3,3 weeks,"Mechanical Engineering, CAD, Teamwork",https://example.com/apply/127
128,Andhra Pradesh,Kurnool,Agriculture/Research,ICAR Research,Offline,Agriculture Campus,2,2 weeks,"Research, Data Analysis, AgriTech",https://example.com/apply/128
129,Kerala,Kannur,IT/Software,Tech Mahindra,Online,IT Park,4,1 month,"Python, Java, Web Development",https://example.com/apply/129
130,Rajasthan,Alwar,Tourism & Hospitality,Neemrana Hotels,Offline,Heritage Hotel Area,2,2 weeks,"Customer Service, Hospitality Skills",https://example.com/apply/130
131,Odisha,Balasore,Engineering,Tata Steel Ltd,Offline,Industrial Estate,3,3 weeks,Mechanical/Industrial Engineering,https://example.com/apply/131
132,West Bengal,Bardhaman,IT/Software,Wipro Ltd,Online,Tech Park,4,1 month,"Java, SQL, Problem Solving",https://example.com/apply/132
133,Punjab,Jalandhar,Education/Training,Apeejay School,Offline,School Campus,2,2 weeks,"Teaching, Communication, MS Office",https://example.com/apply/133
134,Andhra Pradesh,Ongole,Finance/Banking,ICICI Bank Ltd,Online,Main Road,3,1 month,"Financial Analysis, Excel, Reporting",https://example.com/apply/134
135,Kerala,Kollam,Healthcare,Aster DM Healthcare,Offline,Hospital Road,2,2 weeks,"Medical Knowledge, Communication, MS Office",https://example.com/apply/135
136,Rajasthan,Bharatpur,Agriculture/Research,Krishi Vigyan Kendra,Offline,Agriculture Campus,3,3 weeks,"Research, AgriTech, Data Analysis",https://example.com/apply/136
137,Odisha,Berhampur,IT/Software,Mindfire Solutions,Online,IT Park,4,1 month,"Java, Python, Web Development",https://example.com/apply/137
138,West Bengal,Malda,Tourism & Hospitality,Malda Heritage Trust,Offline,Heritage Zone,2,2 weeks,"Customer Service, Cultural Knowledge",https://example.com/apply/138
139,Punjab,Amritsar,Tourism & Hospitality,Golden Temple Trust,Offline,Temple Area,2,2 weeks,"Customer Service, Hospitality Skills",https://example.com/apply/139
140,Andhra Pradesh,Rajahmundry,IT/Software,Cyient Ltd,Online,IT Park,4,1 month,"Java, SQL, Cloud Computing",https://example.com/apply/140
141,Kerala,Thripunithura,Education/Training,Kerala University,Online,University Campus,3,1 month,"Teaching, Research, MS Office",https://example.com/apply/141
142,Rajasthan,Jaisalmer,Tourism & Hospitality,Desert Safari Resort,Offline,Desert Area,2,2 weeks,"Customer Service, Hospitality Skills",https://example.com/apply/142
143,Odisha,Sambalpur,Mining/Industrial,NALCO,Offline,Industrial Zone,3,3 weeks,"Mining Knowledge, Safety Practices",https://example.com/apply/143
144,West Bengal,Kharagpur,IT/Software,TCS Ltd,Online,Tech Park,4,1 month,"Java, Python, SQL",https://example.com/apply/144
145,Punjab,Patiala,Manufacturing,Bajaj Auto,Offline,Industrial Area,3,3 weeks,"Mechanical Skills, CAD, Teamwork",https://example.com/apply/145
146,Andhra Pradesh,Chittoor,Healthcare,Apollo Hospitals,Offline,Near Railway Station,2,2 weeks,"Medical Knowledge, Patient Care",https://example.com/apply/146
147,Kerala,Palakkad,Agriculture/Research,Kerala Agricultural University,Online,University Campus,3,1 month,"Research, AgriTech, Data Analysis",https://example.com/apply/147
148,Rajasthan,Kota,IT/Software,Infosys Ltd,Online,Tech Park,4,1 month,"Java, Cloud Computing, Problem Solving",https://example.com/apply/148
149,Odisha,Jharsuguda,Mining/Industrial,Vedanta Ltd,Offline,Industrial Area,3,3 weeks,"Mining Knowledge, Safety Practices",https://example.com/apply/149
150,West Bengal,Haldia,Manufacturing,Haldia Petrochemicals Ltd,Offline,Industrial Zone,3,2 weeks,"Chemical Engineering, Safety Skills",https://example.com/apply/150
